alpha,logprob_hits,names_own_emotion,text_changed,controls_name_any_emotion
0.05,11,3,8,3
0.1,11,3,8,2
0.2,11,4,9,2
0.3,11,7,12,2
0.5,11,5,12,1
0.8,10,5,12,0
1.0,9,6,12,0
