vector,alpha,logodds
none,0.0,-1.7452478408813477
desperate,-0.05,-1.505239486694336
desperate,0.05,-1.9847745895385742
desperate,-0.1,-1.4246931076049805
desperate,0.1,-2.263528823852539
desperate,-0.2,-1.2152204513549805
desperate,0.2,-2.7452077865600586
desperate,-0.3,-1.4288911819458008
desperate,0.3,-3.1649417877197266
desperate,-0.5,-3.3971424102783203
desperate,0.5,-3.453542709350586
desperate,-0.8,-11.206705093383789
desperate,0.8,-5.057734489440918
desperate,-1.0,-23.629647254943848
desperate,1.0,-8.184934616088867
calm,-0.05,-1.6606760025024414
calm,0.05,-1.7697420120239258
calm,-0.1,-1.7462358474731445
calm,0.1,-1.862147331237793
calm,-0.2,-1.4347219467163086
calm,0.2,-1.9765348434448242
calm,-0.3,-1.1344575881958008
calm,0.3,-2.39760684967041
calm,-0.5,-1.3582344055175781
calm,0.5,-4.286018371582031
calm,-0.8,-2.7454490661621094
calm,0.8,-12.864562034606934
calm,-1.0,-4.518001556396484
calm,1.0,-16.98187828063965
