alpha,solve_minus,solve_plus,k_minus,k_plus,n,safe
0.0,0.875,0.875,14,14,16,True
0.05,0.6875,0.8125,11,13,16,True
0.1,0.625,0.5,10,8,16,False
0.2,0.8125,0.625,13,10,16,True
0.3,0.9375,0.4375,15,7,16,False
0.5,0.625,0.125,10,2,16,False
0.8,0.0,0.0,0,0,16,False
1.0,0.0,0.0,0,0,16,False
