alpha,solve_minus,solve_plus,k_minus,k_plus,n,safe
0.0,1.0,1.0,16,16,16,True
0.05,1.0,0.9375,16,15,16,True
0.1,0.9375,0.9375,15,15,16,True
0.2,1.0,1.0,16,16,16,True
0.3,1.0,0.875,16,14,16,True
0.5,0.6875,0.9375,11,15,16,False
0.8,0.9375,1.0,15,16,16,True
1.0,0.625,1.0,10,16,16,False
