alpha,solve_minus,solve_plus,k_minus,k_plus,n,safe
0.0,1.0,1.0,16,16,16,True
0.05,1.0,0.9375,16,15,16,True
0.1,0.875,1.0,14,16,16,True
0.2,0.9375,0.9375,15,15,16,True
0.3,0.9375,0.875,15,14,16,True
0.5,0.9375,0.875,15,14,16,True
0.8,0.3125,0.5,5,8,16,False
1.0,0.0,0.0,0,0,16,False
