alpha,solve_minus,solve_plus,k_minus,k_plus,n,safe
0.0,0.3125,0.3125,5,5,16,True
0.05,0.5625,0.9375,9,15,16,True
0.1,0.875,1.0,14,16,16,True
0.2,0.1875,0.75,3,12,16,False
0.3,0.0,0.5,0,8,16,False
0.5,0.625,0.625,10,10,16,True
0.8,0.1875,0.1875,3,3,16,False
1.0,0.0,0.0,0,0,16,False
