alpha,logprob_hits,names_own_emotion,text_changed,controls_name_any_emotion
0.05,9,0,0,0
0.1,8,0,5,0
0.2,10,2,10,0
0.3,10,3,12,0
0.5,11,5,12,0
0.8,10,4,12,0
1.0,9,3,12,0
