alpha,solve_minus,solve_plus,k_minus,k_plus,n,safe
0.0,1.0,1.0,16,16,16,True
0.05,1.0,1.0,16,16,16,True
0.1,1.0,1.0,16,16,16,True
0.2,1.0,1.0,16,16,16,True
0.3,1.0,1.0,16,16,16,True
0.5,1.0,1.0,16,16,16,True
0.8,1.0,1.0,16,16,16,True
1.0,1.0,0.9375,16,15,16,True
